Name	StudentId	English	Math	Science	Phys.Ed	Art	Geography	History	Music
Edwards, Megan	S00000001	61.7	95.1	58.8	48.1	95.9	67.2	100.0	3.3
Rivera, Laura	S00000002	54.3	43.9	83.3	57.7	51.2	67.7	90.9	76.6
Hughes, Amy	S00000003	85.7	65.7	100.0	72.6	31.2	68.2	77.7	64.2
Williams, Marie	S00000004	30.5	71.6	53.8	84.1	84.3	100.0	94.7	100.0
Bell, Kelly	S00000005	54.5	27.4	35.4	76.0	87.6	50.4	51.0	26.6
Long, Kathryn	S00000006	65.4	54.3	69.0	70.1	40.4	52.6	81.8	89.9
Thompson, Vincent	S00000007	43.8	23.1	5.0	88.9	100.0	74.7	56.3	47.4
Davis, Julie	S00000008	66.5	46.4	80.9	47.3	86.4	26.3	4.6	87.6
Butler, Jane	S00000009	53.8	30.3	50.2	62.2	74.0	68.8	94.7	19.5
Murphy, Nathan	S00000010	58.1	41.0	58.3	93.1	86.8	59.1	36.8	100.0
Bell, Virginia	S00000011	66.0	81.6	51.4	80.8	58.6	73.1	76.6	79.8
Davis, Marilyn	S00000012	54.6	74.3	93.0	46.9	63.1	63.2	68.8	66.3
Foster, Christine	S00000013	41.3	38.0	53.2	68.0	96.0	100.0	54.7	67.1
Cox, Harold	S00000014	55.9	37.2	40.8	58.4	62.3	22.5	42.0	27.1
Adams, Juan	S00000015	43.9	28.2	56.9	86.6	44.6	56.2	76.5	100.0
Jenkins, Daniel	S00000016	10.9	100.0	79.7	71.9	67.8	61.9	73.3	43.3
Powell, Willie	S00000017	79.4	58.6	87.8	50.6	64.7	99.1	100.0	42.0
Rivera, Kimberly	S00000018	38.4	62.7	91.4	72.0	79.7	77.2	89.6	100.0
Brooks, Doris	S00000019	71.3	91.0	53.2	51.1	100.0	34.9	48.9	66.2
Sanchez, Janet	S00000020	54.0	77.8	80.1	75.5	25.5	78.0	71.2	33.3
Ortiz, Hannah	S00000021	72.8	86.3	80.0	78.2	27.6	87.1	100.0	32.4
Brown, Kevin	S00000022	90.9	45.0	74.8	47.4	50.1	85.0	65.5	64.4
Lee, Carl	S00000023	70.3	4.6	51.3	52.7	58.7	59.7	71.6	68.2
Rivera, Victoria	S00000024	66.5	51.3	47.9	100.0	89.3	40.6	32.2	11.6
Jenkins, Shirley	S00000025	66.7	43.0	68.7	76.2	42.0	57.9	22.6	85.3
Cox, Charles	S00000026	25.1	66.1	81.3	53.8	32.1	90.9	58.1	100.0
Mitchell, Jesse	S00000027	81.2	54.1	18.9	70.3	76.6	65.9	100.0	52.8
Martin, Shirley	S00000028	84.7	54.5	75.2	66.4	70.0	52.4	6.7	1.6
Murphy, Ashley	S00000029	55.6	100.0	73.5	100.0	0.0	99.2	20.2	91.1
James, Gloria	S00000030	63.0	71.0	47.7	65.7	94.6	55.4	84.7	68.0
Thompson, Jennifer	S00000031	87.0	40.1	55.8	77.5	73.8	77.9	55.2	83.5
Hill, Ashley	S00000032	52.4	47.7	51.2	78.0	23.7	63.5	34.7	28.0
Russell, Carol	S00000033	73.3	31.7	84.2	71.6	41.0	75.6	96.7	44.3
Nguyen, Eugene	S00000034	54.5	54.7	93.1	50.7	18.7	97.2	80.4	95.9
Thompson, Emily	S00000035	53.2	10.7	63.5	71.8	37.5	100.0	100.0	0.0
Gonzalez, Jonathan	S00000036	95.4	49.1	44.9	44.5	71.2	53.0	62.2	83.5
Perry, Patrick	S00000037	100.0	18.8	24.5	100.0	67.4	47.9	32.3	47.1
James, Rachel	S00000038	56.9	87.8	20.7	88.9	74.8	81.6	38.3	53.5
Morales, Margaret	S00000039	54.7	82.4	64.4	88.0	29.8	80.2	25.6	100.0
Torres, Maria	S00000040	34.2	66.2	49.2	92.6	68.8	37.7	31.3	100.0
Cox, Steven	S00000041	50.6	18.4	79.2	72.5	61.0	100.0	82.4	70.3
Torres, Charles	S00000042	65.4	51.7	55.8	56.1	27.7	57.1	57.5	85.8
King, Gerald	S00000043	47.8	31.0	50.5	73.7	58.0	32.2	62.7	74.3
Butler, Betty	S00000044	51.4	44.9	12.6	91.9	71.1	46.0	64.0	84.6
Campbell, Dennis	S00000045	60.1	100.0	68.1	77.2	12.5	100.0	51.8	84.1
Allen, Jane	S00000046	43.9	66.3	80.0	48.1	100.0	76.9	44.7	14.6
Gutierrez, Janice	S00000047	93.1	64.8	65.6	87.4	22.2	87.4	87.1	59.1
Bailey, Olivia	S00000048	80.9	52.0	84.7	71.9	97.5	57.1	100.0	76.9
Ward, Christian	S00000049	79.9	100.0	59.2	49.8	80.1	78.1	81.6	50.2
Nelson, Gabriel	S00000050	42.6	65.9	66.9	45.1	41.0	42.1	91.0	62.1
Lopez, Julie	S00000051	100.0	64.6	45.0	66.5	49.0	61.0	48.6	37.7
Evans, Kayla	S00000052	78.4	64.8	91.7	81.0	78.4	97.4	29.5	91.9
Hughes, Julie	S00000053	45.4	32.8	57.5	66.5	66.3	93.9	50.2	30.9
Ramirez, Bobby	S00000054	69.6	100.0	84.0	65.0	72.2	57.1	44.4	100.0
Sanders, Nicole	S00000055	46.6	27.3	59.2	27.2	96.7	88.7	89.8	76.3
Kelly, Carol	S00000056	63.6	91.3	87.1	90.3	100.0	58.7	84.2	100.0
Adams, Frances	S00000057	78.6	49.4	73.9	66.2	83.7	51.8	81.5	59.5
James, Samantha	S00000058	30.7	48.8	100.0	53.8	87.6	72.4	100.0	0.0
Rodriguez, Jeffrey	S00000059	76.2	81.4	33.2	64.1	77.8	73.3	100.0	33.4
Robinson, Donald	S00000060	69.6	66.5	58.1	92.7	81.4	41.7	72.3	50.3
Evans, Sean	S00000061	93.3	86.7	75.3	93.3	43.4	51.0	8.5	92.8
Jackson, Roger	S00000062	31.9	4.9	65.3	71.0	100.0	47.1	95.9	60.4
Foster, Justin	S00000063	85.5	51.6	55.2	42.5	73.2	93.3	72.1	33.4
Walker, Gerald	S00000064	72.7	76.6	100.0	74.0	100.0	100.0	26.7	57.9
Rodriguez, Jacob	S00000065	57.7	61.4	25.1	84.0	99.6	57.5	43.7	27.2
Myers, Juan	S00000066	23.2	69.3	69.2	79.7	96.5	58.1	55.8	100.0
Green, Louis	S00000067	37.6	84.2	98.7	79.2	42.6	68.1	97.0	76.4
Sanders, Debra	S00000068	67.9	21.7	63.2	75.4	55.9	53.4	61.1	99.6
Nguyen, Debra	S00000069	57.6	55.5	79.2	55.5	48.3	54.3	30.1	58.9
Parker, Virginia	S00000070	77.5	39.6	57.5	51.6	39.3	81.6	93.2	34.9
Hernandez, Jean	S00000071	48.4	2.4	36.2	56.5	81.1	73.2	83.9	100.0
Baker, Peter	S00000072	57.1	50.3	38.3	82.5	94.8	61.5	100.0	23.8
Allen, Frances	S00000073	87.3	36.8	78.0	81.9	29.5	100.0	87.9	100.0
Collins, Johnny	S00000074	65.7	54.2	88.5	33.9	51.1	38.9	14.2	81.4
Johnson, Dennis	S00000075	72.2	67.0	69.5	47.9	9.8	49.3	80.3	87.7
Robinson, Patricia	S00000076	87.2	65.4	48.6	88.9	0.0	70.2	65.9	61.1
Martin, Laura	S00000077	59.6	94.9	36.5	56.4	61.9	66.5	58.5	72.6
Perez, Richard	S00000078	72.2	77.2	37.6	71.0	66.3	97.1	100.0	72.6
Hughes, Doris	S00000079	50.7	39.2	59.5	84.8	44.5	56.4	49.8	94.2
Powell, Zachary	S00000080	64.7	44.2	35.0	100.0	72.9	81.2	100.0	100.0
Lopez, Johnny	S00000081	92.0	75.2	67.9	80.1	86.7	47.2	100.0	38.6
Rogers, Henry	S00000082	66.0	42.0	100.0	58.5	66.7	60.5	23.8	64.0
Watson, Ralph	S00000083	73.2	76.2	63.4	90.3	9.8	70.5	94.9	45.5
Carter, Samuel	S00000084	58.3	75.5	35.6	33.6	48.3	72.7	23.1	60.4
Hughes, Kathleen	S00000085	43.0	78.2	63.9	85.1	64.0	65.1	27.2	34.7
