Name	StudentId	English	Math	Science	Phys.Ed	Art	Geography	History	Music
Clark, Alexander	S00000001	N/A	98.8	39.2	88.7	88.1	69.5	12.3	39.1
Roberts, Louis	S00000002	49.7	100.0	45.4	72.0	N/A	100.0	81.8	40.3
Stewart, Joe	S00000003	22.7	53.6	33.5	84.8	53.3	44.2	60.0	31.0
Reed, Brandon	S00000004	40.1	54.8	43.1	26.1	97.9	41.6	39.8	21.5
Kelly, Sandra	S00000005	80.9	0.0	59.1	68.9	52.6	N/A	74.1	29.2
Clark, Michael	S00000006	69.3	57.2	53.0	N/A	N/A	52.2	100.0	97.7
Anderson, Jerry	S00000007	75.3	63.3	100.0	44.4	64.0	96.5	100.0	100.0
Morris, Pamela	S00000008	61.6	95.7	86.9	63.0	85.6	65.8	20.9	86.4
Clark, Sophia	S00000009	30.8	96.6	89.4	98.5	N/A	70.6	42.0	35.5
Brown, Kelly	S00000010	71.4	45.9	N/A	82.4	95.4	38.0	N/A	100.0
Wood, Brenda	S00000011	86.0	N/A	5.4	88.2	54.3	83.6	N/A	N/A
Morales, Gerald	S00000012	48.5	25.9	55.6	79.6	59.9	N/A	100.0	56.2
King, Sharon	S00000013	46.7	28.7	57.8	72.9	33.1	60.6	N/A	90.8
Edwards, Eugene	S00000014	100.0	47.5	26.7	64.9	N/A	64.9	95.3	100.0
Rodriguez, Amy	S00000015	63.8	84.1	79.9	71.0	70.3	72.1	77.8	N/A
Phillips, Doris	S00000016	69.2	0.0	37.6	60.6	40.7	85.5	7.1	60.1
Martin, Jeremy	S00000017	52.5	N/A	N/A	35.9	30.1	58.4	43.6	84.6
Perry, Wayne	S00000018	52.0	66.5	34.3	100.0	92.3	61.9	100.0	67.1
Howard, Carol	S00000019	97.9	42.1	100.0	59.8	90.0	57.4	84.0	85.2
Mitchell, Brian	S00000020	57.1	N/A	90.1	77.3	73.2	62.7	N/A	73.8
Morris, Anthony	S00000021	72.0	56.0	58.2	90.3	93.5	N/A	32.7	N/A
Diaz, Jeremy	S00000022	64.7	72.1	60.0	59.2	57.3	83.6	100.0	100.0
Bennett, Logan	S00000023	83.5	N/A	N/A	52.0	74.5	63.9	N/A	100.0
Thomas, Douglas	S00000024	59.1	53.3	100.0	36.7	25.0	100.0	35.4	100.0
